无线新闻,https://stream1.freetv.fun/wu-xian-xin-wen-2.m3u8
tvb+,https://stream1.freetv.fun/tvb-plus-6.ctv
tvbs亚洲,https://stream1.freetv.fun/tvbsya-zhou-11.m3u8
tvbs娱乐,https://stream1.freetv.fun/tvbyu-le-xin-wen-6.ctv
翡翠台,https://stream1.freetv.fun/tvbfei-cui-3.ctv
明珠,https://stream1.freetv.fun/ming-zhu-8.ctv
viutv,https://stream1.freetv.fun/viutv-1.ctv
viutvsix,https://stream1.freetv.fun/viutvsix-3.ctv
now财经,https://stream1.freetv.fun/nowcai-jing-2.m3u8
now新闻,https://stream1.freetv.fun/nowxin-wen-4.m3u8
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-23.ctv
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-4.ctv  
凤凰香港,https://stream1.freetv.fun/feng-huang-xiang-gang---wj-1.m3u8
美亚c+,https://stream1.freetv.fun/mei-ya-c-plus-1.m3u8
美亚c+7,https://stream1.freetv.fun/plus-7-1.ctv
discovery kids,https://stream1.freetv.fun/discovery-kids-5.m3u8
kix,https://stream1.freetv.fun/kix-7.ctv
rthk31,https://stream1.freetv.fun/rthk31--wj-1.m3u8
rthk32,https://stream1.freetv.fun/rthk32--wj-1.m3u8
星空卫视,https://stream1.freetv.fun/xing-kong-wei-shi-13.m3u8
有线综合,https://stream1.freetv.fun/you-xian-zong-he-1.ctv
香港卫视,https://stream1.freetv.fun/xiang-gang-wei-shi-7.m3u8
