台视新闻,
中视新闻,
民视新闻,
中天综合,
中天新闻,
中天亚洲,
中天娱乐,
三立新闻,
三立综合,
三立台湾,
三立戏剧,
东森综合,
东森新闻,
东森超视,
东森美洲,
东森电影,
非凡新闻,
靖天资讯,
寰宇新闻,
tvbs新闻,
inews新闻,
寰宇财经,
tvbs综艺,
纬来日本,
